판,종목수,앵커/핵심/위성,HBM순도(%),최대비중(%),R1 ≥10,R2 ≤30%,R3 ≤20%
국내 (현행),12,2/4/6,29.0,21.57,PASS,PASS,WARN
글로벌 (S6),13,3/4/6,29.81,18.0,PASS,PASS,PASS
