# T1 구간별 추적오차 분해 (12.5년)
,지수수익률(%),최대낙폭(%),편입종목수,거래일,실측 갭(로그 bp/년),TER 기여(bp/년),매매비용 기여(bp/년),현금 기여(bp/년),연율화 편도회전율
전체 기간,5149.79,-43.519,12.0,3048.0,71.957,45.031,0.192,26.733,0.006
2018 반도체 사이클 붕괴,-37.338,-39.114,7.0,165.0,-27.516,45.031,-0.0,-72.547,0.0
2020 코로나 폭락,-39.77,-41.326,7.0,42.0,-283.016,45.031,-0.0,-328.048,0.0
2022 금리인상기,-34.615,-40.173,11.0,195.0,-12.753,45.031,0.113,-57.897,0.004

# T2 위기구간 용량
구간,종목수,용량(억),병목
2018 반도체 사이클 붕괴,7,74.0,테크윙
2020 코로나 폭락,7,116.0,디아이
2022 금리인상기,11,187.0,테크윙
