# 1 추적오차 (12.5년)
,0
실측 갭(로그 bp/년),77.799
TER 기여(bp/년),45.031
매매비용 기여(bp/년),8.403
현금 기여(bp/년),24.364
연율화 편도회전율,0.283

# 2 용량
기준,용량(억),병목
실측(시간외 포함),2296.0,넥스틴
정규장 기준,1741.0,넥스틴

# 4 개인 복제 최소금액
허용편차(bp),최소투자금액(만원),실제편차(bp),현금잔여(%),p95 편차(bp),오늘만통과(만원)
100.0,32874.0,53.9,0.54,77.5,10262.0
50.0,61167.0,29.6,0.3,42.8,26045.0
25.0,122995.0,10.4,0.1,21.5,52372.0
