종목명,코드,군,편입비중(%),HBM노출도
삼성전자,005930,앵커,14.54,0.1
Micron Technology,MU,앵커,13.04,0.3
SK하이닉스,000660,앵커,12.42,0.4
한미반도체,042700,핵심,18.0,0.6
넥스틴,348210,핵심,3.25,0.5
디아이,003160,핵심,3.93,0.35
테크윙,089030,핵심,16.82,0.3
와이씨켐,112290,위성,0.3,0.1
네오셈,253590,위성,0.47,0.05
솔브레인,357780,위성,3.26,0.05
오로스테크놀로지,322310,위성,0.19,0.03
주성엔지니어링,036930,위성,13.42,0.03
티이엠씨,425040,위성,0.36,0.0
