,PR,TR,포트배당수익률(%)
2014-01-02,1000.0,1000.0,1.5873223188914922
2014-01-03,998.3366515550881,998.3800377850341,1.5873223188914922
2014-01-06,1007.2546752998129,1007.4297761829615,1.5873223188914922
2014-01-07,1009.5309719878611,1009.7503489271448,1.5873223188914922
2014-01-08,1012.4273508449854,1012.6913653361889,1.5873223188914922
2014-01-09,1004.8377943297376,1005.1435098113545,1.5873223188914922
2014-01-10,1003.6459897314344,1003.9949728502044,1.5873223188914922
2014-01-13,1004.2869545857665,1004.7671405696472,1.5873223188914922
2014-01-14,1001.0991932998435,1001.6213821873871,1.5873223188914922
2014-01-15,992.0613605576383,992.621971175042,1.5873223188914922
2014-01-16,987.1963347807405,987.7971225201857,1.5873223188914922
2014-01-17,980.9372457926398,981.5768803984001,1.5873223188914922
2014-01-20,995.3483821494557,996.1272674597503,1.5873223188914922
2014-01-21,989.0775269607226,989.894522646131,1.5873223188914922
2014-01-22,989.9071714384287,990.7679078574262,1.5873223188914922
2014-01-23,988.6416742355804,989.5443125483696,1.5873223188914922
2014-01-24,996.2276516413305,997.180550120695,1.5873223188914922
2014-01-27,984.0754442771117,985.1451411843509,1.5873223188914922
2014-01-28,993.6503015571141,994.7736359092265,1.5873223188914922
2014-01-29,1008.0204151906187,1009.2038517360639,1.5873223188914922
2014-02-03,997.7425507532472,999.1309774621001,1.5873223188914922
2014-02-04,972.5632204687871,973.9589333958519,1.5873223188914922
2014-02-05,971.8876625903151,973.3247034425875,1.5873223188914922
2014-02-06,994.4620678765916,995.975769173173,1.5873223188914922
2014-02-07,1002.7872189048522,1004.3572381487592,1.5873223188914922
2014-02-10,1001.8447685072024,1003.5441327607974,1.5873223188914922
2014-02-11,1006.9950502196198,1008.7469873044071,1.5873223188914922
2014-02-12,1009.5499381555064,1011.3502700233475,1.5873223188914922
2014-02-13,1001.2662460788858,1003.0953967701888,1.5873223188914922
2014-02-14,1007.0359848882387,1008.9195201948777,1.5873223188914922
2014-02-17,1003.1062706707202,1005.1134810768992,1.5873223188914922
2014-02-18,1007.8899043499224,1009.950575828612,1.5873223188914922
2014-02-19,1012.766492514564,1014.8812376904997,1.5873223188914922
2014-02-20,1003.2096420754045,1005.3481207495784,1.5873223188914922
2014-02-21,1020.1867344917498,1022.4058324722492,1.5873223188914922
2014-02-24,1011.4390702977482,1013.7712942239832,1.5873223188914922
2014-02-25,1009.8069341189532,1012.1793804914349,1.5873223188914922
2014-02-26,1019.0185908086404,1021.4570681816028,1.5873223188914922
2014-02-27,1016.6749138196836,1019.1520717645736,1.5873223188914922
2014-02-28,1020.9109618420184,1023.4429164190416,1.5873223188914922
2014-03-03,1016.8579689516914,1019.5127739388819,1.5873223188914922
2014-03-04,1016.591106906186,1019.2895100570996,1.5873223188914922
2014-03-05,1024.1319009150086,1026.894945472083,1.5873223188914922
2014-03-06,1025.3286433226908,1028.1395960968011,1.5873223188914922
2014-03-07,1021.7065387471633,1024.5520850499377,1.5873223188914922
2014-03-10,1014.9870030786856,1017.9465328974075,1.5873223188914922
2014-03-11,1018.319847741356,1021.333479278518,1.5873223188914922
