# 노출도 하한 시나리오 비교
노출도 하한,종목수,앵커/핵심/위성,위성 합(%),최대비중(%),HBM순도(%),R1 종목수≥10,R2 ≤30%,R3 ≤20%
없음(현행),13,3/4/6,18.0,18.0,29.81,PASS,PASS,PASS
3%,12,3/4/5,18.0,18.0,29.82,PASS,PASS,PASS
5%,10,3/4/3,7.31,18.0,33.9,PASS,PASS,PASS
10%,8,3/4/1,0.61,18.0,36.37,FAIL,PASS,PASS

# 용량 영향
노출도 하한,용량(억),병목
없음(현행),2249,넥스틴
3%,2249,넥스틴
5%,968,넥스틴
10%,691,넥스틴
