CU금액(억),1CU ETF좌수,총괴리(bp),종목괴리(bp),최대괴리(bp),현금(bp),0주 종목수,충족,초과율(%),p95 괴리(bp),강건
7,70000,17.57,8.78,10.4,17.57,0,False,88.7,39.26,False
10,100000,9.78,4.89,5.29,9.78,0,True,66.3,27.85,False
15,150000,5.64,2.82,1.33,5.64,0,True,25.0,18.55,False
20,200000,8.06,4.03,5.29,8.06,0,True,1.7,13.74,False
30,300000,3.74,1.87,1.32,3.74,0,True,0.0,9.23,True
50,500000,1.8,0.9,0.53,1.8,0,True,0.0,5.58,True
