seed,정책,유지임계(핵심/위성),연율화 회전율,편입+편출 횟수,평균 종목 수,평균 노출도(비중가중),평균 HHI,평균 최대비중,총수익률(무비용),총수익률(30bp차감),"비용 드래그(연, bp)"
20260722,none,30%/70%,0.36162467032095985,88,13.0,0.5267970736741024,0.12862732078890568,0.22359371092458805,0.894793649213417,0.8829244006933792,12.111638535707847
20260722,narrow,29%/69%,0.33002010306866986,82,13.25,0.5220541219375366,0.1272914375137662,0.22359371092458805,0.9175340242232111,0.9065693786944904,11.076162177883209
20260722,mid,27%/67%,0.24436089944826322,43,15.0,0.500005598300098,0.12188190176138469,0.22359371092458805,0.8853484775551228,0.8773606422194997,8.177838279768146
20260722,wide,25%/65%,0.20080759400427242,17,16.166666666666668,0.48844011193233516,0.11899914176500868,0.22359371092458805,0.9084192914532063,0.901772551062747,6.734607736105236
20260723,none,30%/70%,0.3692388775317315,88,13.0,0.5251129363366532,0.12833332074920828,0.22203101965933358,0.9247505535003482,0.9124405281946559,12.40013255251693
20260723,narrow,29%/69%,0.3382498795318854,81,13.333333333333334,0.5190648033210365,0.1266173894882127,0.22203101965933358,0.9459431682055113,0.9345392950555813,11.381216942643047
20260723,mid,27%/67%,0.2361677991760932,40,15.083333333333334,0.49742197223686535,0.12133108868147507,0.22203101965933358,0.9686089332873697,0.9605474750817129,7.962890701127545
20260723,wide,25%/65%,0.19800878952299653,15,16.166666666666668,0.4874247103911877,0.11893305389354837,0.22203101965933358,0.9791108844090655,0.9723138456813214,6.68261161403505
20260724,none,30%/70%,0.4010952684833505,88,13.0,0.5237054130282188,0.12761554776615555,0.22062979945775688,0.7990339240871791,0.7865384110588758,13.313427966272773
20260724,narrow,29%/69%,0.39109376029173043,85,13.166666666666666,0.5208556693740455,0.1268074118351635,0.22062979945775688,0.874986001514084,0.8622866691536539,13.07459363295127
20260724,mid,27%/67%,0.28942736346055625,47,14.833333333333334,0.4978978403707004,0.12114080141696353,0.22062979945775688,0.8462110438536556,0.8369497242622943,9.650722979419601
20260724,wide,25%/65%,0.24542466594460596,17,16.083333333333332,0.48696200278372886,0.11857030333340024,0.22062979945775688,0.8565248812865163,0.8486249487009558,8.191652186784193
20260725,none,30%/70%,0.3727622292732519,88,13.0,0.5279220855245282,0.12800802123008645,0.214944240918127,0.987099465753634,0.9742696827521025,12.587617120125572
20260725,narrow,29%/69%,0.3456472201716687,82,13.25,0.5229493099906777,0.12665000474045876,0.214944240918127,1.0206565576281181,1.0085565505079561,11.705995904038868
20260725,mid,27%/67%,0.2550940342040932,49,14.75,0.5026227043937372,0.12166463896837049,0.214944240918127,1.0699520923441286,1.0607976379599227,8.675863526281802
20260725,wide,25%/65%,0.2033116859983794,19,16.0,0.49166626325898005,0.11901797127179914,0.214944240918127,1.0018783781164307,0.9948192627744605,6.87517274043925
20260726,none,30%/70%,0.34079457002525854,88,13.0,0.5244816217489527,0.12794352730049413,0.2202912922798085,1.6357885903265958,1.620226139145394,12.08369244575458
20260726,narrow,29%/69%,0.30572901235978583,77,13.5,0.515705203815175,0.12540664373454286,0.2202912922798085,1.5708917315854047,1.5572705296405656,10.794058792269468
20260726,mid,27%/67%,0.22840855808533353,47,14.833333333333334,0.4992704349470376,0.12141631175729907,0.2202912922798085,1.570776502685331,1.5605944019227151,8.064578251083532
20260726,wide,25%/65%,0.18188346552057727,18,16.083333333333332,0.4889712922717555,0.11907158398954454,0.2202912922798085,1.6244005470843792,1.6161202969219546,6.445032886488455
20260727,none,30%/70%,0.3800398238769724,88,13.0,0.524590529354192,0.12761478074840296,0.21820385887501204,2.1474114135021085,2.1266946046546575,13.894051592622247
20260727,narrow,29%/69%,0.3675715780423229,86,13.083333333333334,0.5230244403621119,0.1271893935486061,0.21820385887501204,2.1383832531205837,2.118401587807993,13.431698689947424
20260727,mid,27%/67%,0.26843761943013456,46,14.833333333333334,0.5001653279916146,0.12171124877557617,0.21820385887501204,2.1015638857176335,2.08713117029613,9.789899974654848
20260727,wide,25%/65%,0.21242339295664775,13,16.333333333333332,0.4862594979704146,0.11823633038303495,0.21820385887501204,1.9643813374673122,1.9534605793893163,7.6870913316673395
20260728,none,30%/70%,0.39376762564319917,88,13.0,0.5264957377596646,0.1279719277241129,0.2151222066434054,2.485499019606013,2.461730531604456,14.651812173813727
20260728,narrow,29%/69%,0.3755645655329001,84,13.166666666666666,0.5237693692092935,0.1271420346933463,0.2151222066434054,2.5082248291290523,2.4854040459657347,13.990348486272453
20260728,mid,27%/67%,0.2786401539984196,39,15.166666666666666,0.49849371626002165,0.12088972183790198,0.2151222066434054,2.905168337140626,2.886306902842305,10.574441016679703
20260728,wide,25%/65%,0.241067945772482,13,16.333333333333332,0.4883473237764256,0.11835969587470856,0.2151222066434054,2.8971328451743683,2.8808434096135644,9.14558745533478
20260729,none,30%/70%,0.36403400269275954,88,13.0,0.5286596829103146,0.12823621150406542,0.2153704801300277,0.9491403945820154,0.936849574328708,12.252021840675198
20260729,narrow,29%/69%,0.3526758544270754,85,13.166666666666666,0.5258830270292841,0.12740566968340675,0.2153704801300277,0.9823201086476414,0.9702089944932561,11.90449217468581
20260729,mid,27%/67%,0.25572929126375743,47,14.833333333333334,0.5047321326294928,0.12218621836541721,0.2153704801300277,0.9920100063733011,0.9831784181745096,8.639949355764287
20260729,wide,25%/65%,0.19424339894980341,11,16.416666666666668,0.49057489390808096,0.11871861123151982,0.2153704801300277,1.058429744702711,1.051494492183494,6.600218144485748
20260730,none,30%/70%,0.37992799613964534,88,13.0,0.5221011412492889,0.1274565411528874,0.2197096496967422,1.794189628232186,1.7758030697300136,13.60742246159008
20260730,narrow,29%/69%,0.3658479612143364,84,13.166666666666666,0.5193446755399395,0.12663742528609045,0.2197096496967422,1.8347072249227385,1.8167432686198093,13.135932743080225
20260730,mid,27%/67%,0.27022202579419463,44,14.916666666666666,0.4971925967984099,0.12133931535637499,0.2197096496967422,2.0131347162356628,1.9990204380282024,9.805894223191558
20260730,wide,25%/65%,0.2036836527537641,9,16.5,0.4820155724439712,0.11754696168036866,0.2197096496967422,2.0052644281513423,1.9946477548418295,7.388378318764488
20260731,none,30%/70%,0.37719362202033346,88,13.0,0.5263227747361124,0.1278915252069924,0.21674132657770373,0.8028970131980413,0.7911186350727673,12.52495194789871
20260731,narrow,29%/69%,0.3707329641481624,86,13.083333333333334,0.5250300844696152,0.12750671521961543,0.21674132657770373,0.8209976320464065,0.8093041556366207,12.331753697163439
20260731,mid,27%/67%,0.2698577520330803,46,14.833333333333334,0.501896793417436,0.12174671450256663,0.21674132657770373,0.8973890255053141,0.8885131533414894,9.040921481495712
20260731,wide,25%/65%,0.2196560402988406,16,16.166666666666668,0.48982929181790363,0.11881343245138193,0.21674132657770373,0.8530684678544529,0.8460097130973863,7.3293485165137895
